training_size, sample_size, accuracy
10000,1000.0,0.779
10000,1000.0,0.805
10000,1000.0,0.79
10000,1000.0,0.777
10000,1000.0,0.802
10000,1000.0,0.819
10000,1000.0,0.789
10000,1000.0,0.812
10000,1000.0,0.796
10000,1000.0,0.789
20000,1000.0,0.756
20000,1000.0,0.733
20000,1000.0,0.729
20000,1000.0,0.73
20000,1000.0,0.739
20000,1000.0,0.734
20000,1000.0,0.76
20000,1000.0,0.75
20000,1000.0,0.748
20000,1000.0,0.758
30000,1000.0,0.755
30000,1000.0,0.777
30000,1000.0,0.772
30000,1000.0,0.769
30000,1000.0,0.793
30000,1000.0,0.781
30000,1000.0,0.759
30000,1000.0,0.764
30000,1000.0,0.756
30000,1000.0,0.765
40000,1000.0,0.776
40000,1000.0,0.766
40000,1000.0,0.744
40000,1000.0,0.762
40000,1000.0,0.727
40000,1000.0,0.74
40000,1000.0,0.731
40000,1000.0,0.773
40000,1000.0,0.746
40000,1000.0,0.766
50000,1000.0,0.806
50000,1000.0,0.784
50000,1000.0,0.775
50000,1000.0,0.797
50000,1000.0,0.794
50000,1000.0,0.797
50000,1000.0,0.798
50000,1000.0,0.817
50000,1000.0,0.797
50000,1000.0,0.803
60000,1000.0,0.8
60000,1000.0,0.805
60000,1000.0,0.763
60000,1000.0,0.788
60000,1000.0,0.816
60000,1000.0,0.797
60000,1000.0,0.806
60000,1000.0,0.825
60000,1000.0,0.83
60000,1000.0,0.772
70000,1000.0,0.74
70000,1000.0,0.744
70000,1000.0,0.748
70000,1000.0,0.732
70000,1000.0,0.745
70000,1000.0,0.754
70000,1000.0,0.729
70000,1000.0,0.741
70000,1000.0,0.741
70000,1000.0,0.767
80000,1000.0,0.811
80000,1000.0,0.786
80000,1000.0,0.818
80000,1000.0,0.821
80000,1000.0,0.81
80000,1000.0,0.797
80000,1000.0,0.774
80000,1000.0,0.807
80000,1000.0,0.792
80000,1000.0,0.812
90000,1000.0,0.803
90000,1000.0,0.802
90000,1000.0,0.82
90000,1000.0,0.828
90000,1000.0,0.82
90000,1000.0,0.798
90000,1000.0,0.819
90000,1000.0,0.796
90000,1000.0,0.812
90000,1000.0,0.806
100000,1000.0,0.789
100000,1000.0,0.787
100000,1000.0,0.799
100000,1000.0,0.796
100000,1000.0,0.812
100000,1000.0,0.784
100000,1000.0,0.796
100000,1000.0,0.798
100000,1000.0,0.793
100000,1000.0,0.783
110000,1000.0,0.807
110000,1000.0,0.815
110000,1000.0,0.825
110000,1000.0,0.83
110000,1000.0,0.821
110000,1000.0,0.826
110000,1000.0,0.832
110000,1000.0,0.834
110000,1000.0,0.813
110000,1000.0,0.823
120000,1000.0,0.823
120000,1000.0,0.81
120000,1000.0,0.823
120000,1000.0,0.818
120000,1000.0,0.826
120000,1000.0,0.812
120000,1000.0,0.768
120000,1000.0,0.812
120000,1000.0,0.814
120000,1000.0,0.799
130000,1000.0,0.815
130000,1000.0,0.796
130000,1000.0,0.811
130000,1000.0,0.843
130000,1000.0,0.802
130000,1000.0,0.831
130000,1000.0,0.844
130000,1000.0,0.811
130000,1000.0,0.813
130000,1000.0,0.821
140000,1000.0,0.81
140000,1000.0,0.781
140000,1000.0,0.814
140000,1000.0,0.795
140000,1000.0,0.775
140000,1000.0,0.804
140000,1000.0,0.803
140000,1000.0,0.804
140000,1000.0,0.805
140000,1000.0,0.809
150000,1000.0,0.818
150000,1000.0,0.828
150000,1000.0,0.802
150000,1000.0,0.822
150000,1000.0,0.819
150000,1000.0,0.808
150000,1000.0,0.855
150000,1000.0,0.825
150000,1000.0,0.832
150000,1000.0,0.831
160000,1000.0,0.809
160000,1000.0,0.8
160000,1000.0,0.807
160000,1000.0,0.798
160000,1000.0,0.806
160000,1000.0,0.83
160000,1000.0,0.801
160000,1000.0,0.827
160000,1000.0,0.806
160000,1000.0,0.82
170000,1000.0,0.831
170000,1000.0,0.83
170000,1000.0,0.837
170000,1000.0,0.819
170000,1000.0,0.826
170000,1000.0,0.83
170000,1000.0,0.812
170000,1000.0,0.83
170000,1000.0,0.854
170000,1000.0,0.816
180000,1000.0,0.807
180000,1000.0,0.797
180000,1000.0,0.821
180000,1000.0,0.811
180000,1000.0,0.821
180000,1000.0,0.805
180000,1000.0,0.812
180000,1000.0,0.828
180000,1000.0,0.793
180000,1000.0,0.812
190000,1000.0,0.787
190000,1000.0,0.798
190000,1000.0,0.802
190000,1000.0,0.797
190000,1000.0,0.802
190000,1000.0,0.8
190000,1000.0,0.797
190000,1000.0,0.787
190000,1000.0,0.787
190000,1000.0,0.809
200000,1000.0,0.827
200000,1000.0,0.814
200000,1000.0,0.812
200000,1000.0,0.83
200000,1000.0,0.816
200000,1000.0,0.805
200000,1000.0,0.816
200000,1000.0,0.825
200000,1000.0,0.842
200000,1000.0,0.82
210000,1000.0,0.833
210000,1000.0,0.836
210000,1000.0,0.803
210000,1000.0,0.815
210000,1000.0,0.789
210000,1000.0,0.838
210000,1000.0,0.82
210000,1000.0,0.795
210000,1000.0,0.813
210000,1000.0,0.793
220000,1000.0,0.819
220000,1000.0,0.813
220000,1000.0,0.798
220000,1000.0,0.826
220000,1000.0,0.84
220000,1000.0,0.834
220000,1000.0,0.828
220000,1000.0,0.797
220000,1000.0,0.821
220000,1000.0,0.826
230000,1000.0,0.824
230000,1000.0,0.801
230000,1000.0,0.809
230000,1000.0,0.789
230000,1000.0,0.796
230000,1000.0,0.837
230000,1000.0,0.832
230000,1000.0,0.802
230000,1000.0,0.831
230000,1000.0,0.804
240000,1000.0,0.828
240000,1000.0,0.844
240000,1000.0,0.826
