training_size, sample_size, accuracy
10000,1000.0,0.766
10000,1000.0,0.75
10000,1000.0,0.752
10000,1000.0,0.738
10000,1000.0,0.77
10000,1000.0,0.737
10000,1000.0,0.765
10000,1000.0,0.759
10000,1000.0,0.756
10000,1000.0,0.757
20000,1000.0,0.785
20000,1000.0,0.802
20000,1000.0,0.815
20000,1000.0,0.83
20000,1000.0,0.799
20000,1000.0,0.802
20000,1000.0,0.8
20000,1000.0,0.805
20000,1000.0,0.809
20000,1000.0,0.809
30000,1000.0,0.794
30000,1000.0,0.811
30000,1000.0,0.79
30000,1000.0,0.808
30000,1000.0,0.826
30000,1000.0,0.784
30000,1000.0,0.807
30000,1000.0,0.773
30000,1000.0,0.82
30000,1000.0,0.793
40000,1000.0,0.727
40000,1000.0,0.759
40000,1000.0,0.754
40000,1000.0,0.758
40000,1000.0,0.744
40000,1000.0,0.744
40000,1000.0,0.775
40000,1000.0,0.76
40000,1000.0,0.765
40000,1000.0,0.733
50000,1000.0,0.812
50000,1000.0,0.807
50000,1000.0,0.811
50000,1000.0,0.789
50000,1000.0,0.808
50000,1000.0,0.816
50000,1000.0,0.809
50000,1000.0,0.802
50000,1000.0,0.823
50000,1000.0,0.818
60000,1000.0,0.815
60000,1000.0,0.803
60000,1000.0,0.811
60000,1000.0,0.807
60000,1000.0,0.795
60000,1000.0,0.813
60000,1000.0,0.813
60000,1000.0,0.799
60000,1000.0,0.809
60000,1000.0,0.812
70000,1000.0,0.797
70000,1000.0,0.794
70000,1000.0,0.782
70000,1000.0,0.804
70000,1000.0,0.793
70000,1000.0,0.79
70000,1000.0,0.797
70000,1000.0,0.798
70000,1000.0,0.773
70000,1000.0,0.809
80000,1000.0,0.822
80000,1000.0,0.811
80000,1000.0,0.819
80000,1000.0,0.827
80000,1000.0,0.827
80000,1000.0,0.816
80000,1000.0,0.831
80000,1000.0,0.828
80000,1000.0,0.812
80000,1000.0,0.838
90000,1000.0,0.794
90000,1000.0,0.821
90000,1000.0,0.82
90000,1000.0,0.814
90000,1000.0,0.834
90000,1000.0,0.807
90000,1000.0,0.836
90000,1000.0,0.816
90000,1000.0,0.812
90000,1000.0,0.801
100000,1000.0,0.836
100000,1000.0,0.819
100000,1000.0,0.844
100000,1000.0,0.828
100000,1000.0,0.838
100000,1000.0,0.813
100000,1000.0,0.831
100000,1000.0,0.869
100000,1000.0,0.848
100000,1000.0,0.841
110000,1000.0,0.814
110000,1000.0,0.819
110000,1000.0,0.787
110000,1000.0,0.853
110000,1000.0,0.823
110000,1000.0,0.805
110000,1000.0,0.819
110000,1000.0,0.81
110000,1000.0,0.822
110000,1000.0,0.805
120000,1000.0,0.832
120000,1000.0,0.81
120000,1000.0,0.834
120000,1000.0,0.842
120000,1000.0,0.842
120000,1000.0,0.829
120000,1000.0,0.824
120000,1000.0,0.815
120000,1000.0,0.816
120000,1000.0,0.828
130000,1000.0,0.823
130000,1000.0,0.824
130000,1000.0,0.806
130000,1000.0,0.802
130000,1000.0,0.822
130000,1000.0,0.822
130000,1000.0,0.842
130000,1000.0,0.831
130000,1000.0,0.809
130000,1000.0,0.816
140000,1000.0,0.845
140000,1000.0,0.808
140000,1000.0,0.832
140000,1000.0,0.843
140000,1000.0,0.837
140000,1000.0,0.835
140000,1000.0,0.823
140000,1000.0,0.815
140000,1000.0,0.815
140000,1000.0,0.831
150000,1000.0,0.81
150000,1000.0,0.824
150000,1000.0,0.83
150000,1000.0,0.842
150000,1000.0,0.827
150000,1000.0,0.822
150000,1000.0,0.829
150000,1000.0,0.833
150000,1000.0,0.807
